minute,ad_occurred,active_sessions
2020-11-28 15:00,FALSE,10
2020-11-28 15:01,FALSE,10
2020-11-28 15:02,FALSE,9
2020-11-28 15:03,FALSE,7
2020-11-28 15:04,FALSE,9
2020-11-28 15:05,FALSE,11
2020-11-28 15:06,FALSE,12
2020-11-28 15:07,FALSE,10
2020-11-28 15:08,FALSE,9
2020-11-28 15:09,FALSE,10
2020-11-28 15:10,TRUE,11
2020-11-28 15:11,FALSE,20
2020-11-28 15:12,FALSE,40
2020-11-28 15:13,FALSE,45
2020-11-28 15:14,FALSE,50
2020-11-28 15:15,FALSE,45
2020-11-28 15:16,FALSE,40
2020-11-28 15:17,FALSE,20
2020-11-28 15:18,FALSE,10
2020-11-28 15:19,FALSE,11
2020-11-28 15:20,FALSE,12
